T©n Y phôc	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	"Biªn hiÖu bé trang bÞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bÞ)"	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dÞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
Hµo HiÖp y	0	100	30270	30	40000	0	250	23;35					31386	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	14	0																																																																		
Hµo HiÖp y	0	100	30271	30	40000	0	250	23;35					31387	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	14	0																																																																		
Hµo HiÖp y	0	100	30272	30	40000	0	250	23;35					31388	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	14	0																																																																		
Hµo HiÖp y	0	100	30273	30	40000	0	250	30;30					31389	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	15	0																																																																		
Hµo HiÖp y	0	100	30274	30	40000	0	250	30;30					31390	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	15	0																																																																		
Hµo HiÖp y	0	100	30275	30	40000	0	250	30;30					31391	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	15	0																																																																		
Hµo HiÖp y	0	100	30276	30	40000	0	250	30;30					31392	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	15	0																																																																		
Hµo HiÖp y	0	100	30277	30	40000	0	250	23;35					31393	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	17	0																																																																		
Hµo HiÖp y	0	100	30278	30	40000	0	250	23;35					31394	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	17	0																																																																		
Hµo HiÖp y	0	100	30279	30	40000	0	250	23;35					31395	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	17	0																																																																		
Hµo HiÖp y	0	100	30280	30	40000	0	250	23;35					31396	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	17	0																																																																		
Hµo HiÖp y	0	100	30281	30	40000	0	250	23;35					31397	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	18	0																																																																		
Hµo HiÖp y	0	100	30282	30	40000	0	250	23;35					31398	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	18	0																																																																		
Hµo HiÖp y	0	100	30283	30	40000	0	250	23;35					31399	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	18	0																																																																		
Hµo HiÖp y	0	100	30284	30	40000	0	250	23;35					31400	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	18	0																																																																		
Hµo HiÖp y	0	100	30285	30	40000	0	250	30;30					31401	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	20	0																																																																		
Hµo HiÖp y	0	100	30286	30	40000	0	250	30;30					31402	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	20	0																																																																		
Hµo HiÖp y	0	100	30287	30	40000	0	250	30;30					31403	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	20	0																																																																		
Hµo HiÖp y	0	100	30288	30	40000	0	250	30;30					31404	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	20	0																																																																		
Hµo HiÖp y	0	100	30289	30	40000	0	250	23;35					31405	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	21	0																																																																		
Hµo HiÖp y	0	100	30290	30	40000	0	250	23;35					31406	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	21	0																																																																		
Hµo HiÖp y	0	100	30291	30	40000	0	250	23;35					31407	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	21	0																																																																		
Hµo HiÖp y	0	100	30292	30	40000	0	250	23;35					31408	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	21	0																																																																		
Hµo HiÖp y	0	100	30293	30	40000	0	250	23;35					31409	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	23	0																																																																		
Hµo HiÖp y	0	100	30294	30	40000	0	250	23;35					31410	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	23	0																																																																		
Hµo HiÖp y	0	100	30295	30	40000	0	250	35;23					31411	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	25	0																																																																		
Hµo HiÖp y	0	100	30296	30	40000	0	250	35;23					31412	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	25	0																																																																		
Hµo HiÖp y	0	100	30297	30	40000	0	250	35;23					31413	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	25	0																																																																		
Hµo HiÖp y	0	100	30298	30	40000	0	250	35;23					31414	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	25	0																																																																		
Hµo HiÖp y	0	100	30299	30	40000	0	250	30;30					31415	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	26	0																																																																		
Hµo HiÖp y	0	100	30300	30	40000	0	250	30;30					31416	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	26	0																																																																		
Hµo HiÖp y	0	100	30301	30	40000	0	250	30;30					31417	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	26	0																																																																		
Hµo HiÖp y	0	100	30302	30	40000	0	250	30;30					31418	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	26	0																																																																		
Hµo HiÖp y	0	100	30303	30	40000	0	250	30;30					31419	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m1_bd_026a1.spr	\image\item\cloth\m1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	±ê×¼ÄÐºÀÏÀÅÛ	§· khãa		10	4	1	27	0																																																																		
Hµo HiÖp y	0	100	30304	30	40000	0	250	30;30					31420	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\m2_bd_026a1.spr	\image\item\cloth\m2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	¿ýÎàÄÐºÀÏÀÅÛ	§· khãa		10	4	1	27	0																																																																		
Hµo HiÖp y	0	100	30305	30	40000	0	250	30;30					31421	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	27	0																																																																		
Hµo HiÖp y	0	100	30306	30	40000	0	250	30;30					31422	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	27	0																																																																		
Hµo HiÖp y	0	100	30307	30	40000	0	250	30;30					31423	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	29	0																																																																		
Hµo HiÖp y	0	100	30308	30	40000	0	250	30;30					31424	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	29	0																																																																		
Hµo HiÖp y	0	100	30309	30	40000	0	250	30;30					31425	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f2_bd_026a1.spr	\image\item\cloth\f2_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	ÐÔ¸ÐÅ®ºÀÏÀÉÑ	§· khãa		10	4	1	30	0																																																																		
Hµo HiÖp y	0	100	30310	30	40000	0	250	30;30					31426	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	"Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng."	½¿Ð¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	30	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30311	30	40000	0	200	25;17					31556	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30312	30	40000	0	200	25;17					31557	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ýÎàÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30313	30	40000	0	200	25;17					31558	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30314	30	40000	0	200	25;17					31559	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ýÎàÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30315	30	40000	0	200	17;25					31560	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30316	30	40000	0	200	17;25					31561	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ýÎàÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30317	30	40000	0	200	23;23					31562	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30318	30	40000	0	200	23;23					31563	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ýÎàÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30319	30	40000	0	200	23;23					31564	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ÐÔ¸ÐÅ®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30320	30	40000	0	200	23;23					31565	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ð¡Å®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30321	30	40000	0	200	17;25					31566	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ÐÔ¸ÐÅ®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30322	30	40000	0	200	17;25					31567	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ð¡Å®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30323	30	40000	0	200	23;23					31568	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ÐÔ¸ÐÅ®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30324	30	40000	0	200	23;23					31569	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü½¿Ð¡ÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ð¡Å®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30325	30	40000	0	200	25;17					31570	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü±êÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30326	30	40000	0	200	25;17					31571	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾ü×³ÄÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ýÎàÄÐ»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30327	30	40000	0	200	25;17					31572	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ36.spr	\image\item\cloth\»ð·ï½«¾üÐÔ¸ÐÒÂ120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Bµo <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ÐÔ¸ÐÅ®»ð·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0																																																																		
