Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hµo HiÖp KiÕm (PhÕ)	0	2	30712	90	18000	0	300	0	193;363	360;640	1	86	50008	690				\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Bót (PhÕ)	0	9	30713	130	18000	0	300	0	228;380		1	110	50009	690				\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±±Ê14	Bót		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Th­¬ng (PhÕ)	0	6	30714	130	18000	0	300	0	190;446		1	95	50010	690				\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅÇ¹14	Th­¬ng		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Cung (PhÕ)	0	4	30715	130	18000	0	300	1	237;385		1	86	50011	690				\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅ¹­14	Cung		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp §ao (PhÕ)	0	7	30716	215	18000	0	300	2	243;411	329;574	1	105	50012	690				\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾µ¶14	Song ®ao		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Tr¶o (PhÕ)	0	11	30717	215	18000	0	300	2	243;411	275;493	1	105	50013	690				\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾×¦14	Tr¶o		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp KiÕm (PhÕ)	0	2	30718	90	18000	0	300	0	193;363	360;640	1	86	50014	690				\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	À¥ÂØ½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp §ao (PhÕ)	0	3	30719	200	18000	0	300	0	320;556		1	100	50015	690				\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ìµ¶14	§¬n ®ao		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Bót (PhÕ)	0	9	30720	130	18000	0	300	0	228;380		1	110	50016	690				\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì±Ê14	Bót		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp Tr¶o (PhÕ)	0	11	30721	215	18000	0	300	2	243;411	275;493	1	105	50017	690				\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì×¦14	Tr¶o		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp PhiÕn (PhÕ)	0	13	30722	140	18000	0	300	0	246;523	210;447	1	87	50018	690				\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌÉÈ14	Linh Chi		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp §Şch (PhÕ)	0	12	30723	130	18000	0	300	0	190;413	97;216	1	87	50019	690				\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌµÑ14	Tiªu		10;10	4	1	0	0		99	36	34	12
Hµo HiÖp §ao	0	3	30724	200	18000	0	300	0	320;556		1	100	50020	690				\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÉÙÁÖµ¶14	§¬n ®ao		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp Tr­îng	0	8	30725	100	18000	0	300	0	217;411	331;565	1	86	50021	690				\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÉÙÁÖìø14	Tİch tr­îng		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp Thñ	0	0	30726	50	18000	0	300	0	329;574	286;493	1	90	50022	690				\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	Hé thñ		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp Ch©m	0	1	30727	50	18000	0	300	0	204;336		1	80	50023	690				\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	¸m khİ		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp KiÕm	0	2	30728	90	18000	0	300	0	193;363	360;640	1	86	50024	690				\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¶ëÃ¼½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp CÇm	0	10	30729	140	18000	0	300	1	250;420	288;490	1	90	50025	690				\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¶ëÃ¼ÇÙ14	CÇm		10;10	4	1	0	0		99	43	40	12
Hµo HiÖp Thñ	0	0	30730	50	18000	0	300	0	329;574	286;493	1	90	50026	690				\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	Hé thñ		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp C«n	0	5	30731	200	18000	0	300	0	263;451		1	84	50027	690				\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ø¤°ï¹÷14	C«n		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp KiÕm	0	2	30732	90	18000	0	300	0	193;363	360;640	1	86	50028	690				\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp Bót	0	9	30733	130	18000	0	300	0	228;380		1	110	50029	690				\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±±Ê14	Bót		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp Th­¬ng	0	6	30734	130	18000	0	300	0	190;446		1	95	50030	690				\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅÇ¹14	Th­¬ng		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp Cung	0	4	30735	130	18000	0	300	1	237;385		1	86	50031	690				\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅ¹­14	Cung		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp Song §ao	0	7	30736	215	18000	0	300	2	243;411	329;574	1	105	50032	690				\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾µ¶14	Song ®ao		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp Tr¶o	0	11	30737	215	18000	0	300	2	243;411	275;493	1	105	50033	690				\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾×¦14	Tr¶o		10;10	4	1	0	0		99	42	40	12
Hµo HiÖp KiÕm	0	2	30738	90	18000	0	300	0	193;363	360;640	1	86	50034	690				\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	À¥ÂØ½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp §ao	0	3	30739	200	18000	0	300	0	320;556		1	100	50035	690				\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ìµ¶14	§¬n ®ao		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp Bót	0	9	30740	130	18000	0	300	0	320;556		1	110	50036	690				\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì±Ê14	Bót		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp Tr¶o	0	11	30741	215	18000	0	300	2	193;363	360;640	1	105	50037	690				\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì×¦14	Tr¶o		10;10	4	1	0	0		99	44	40	12
Hµo HiÖp PhiÕn	0	13	30742	140	18000	0	300	0	246;523	210;447	1	87	50038	690				\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌÉÈ14	Linh Chi		10;10	4	1	0	0		99	45	40	12
Hµo HiÖp §Şch	0	12	30743	130	18000	0	300	0	190;413	97;216	1	87	50039	690				\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌµÑ14	Tiªu		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp §ao	0	3	30744	200	18000	0	300	0	320;556		1	100	50040	690				\image\item\weapon\wea_lv13_02a1.spr	\image\item\weapon\wea_lv13_02a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÉÙÁÖµ¶14	§¬n ®ao		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp Tr­îng	0	8	30745	100	18000	0	300	0	217;411	331;565	1	86	50041	690				\image\item\weapon\wea_lv13_03a1.spr	\image\item\weapon\wea_lv13_03a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÉÙÁÖìø14	Tİch tr­îng		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp Thñ	0	0	30746	50	18000	0	300	0	329;574	286;493	1	90	50042	690				\image\item\weapon\wea_lv13_04a1.spr	\image\item\weapon\wea_lv13_04a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	Hé thñ		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp Ch©m	0	1	30747	50	18000	0	300	0	204;336		1	80	50043	690				\image\item\weapon\wea_lv13_06a1.spr	\image\item\weapon\wea_lv13_06a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	¸m khİ		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp KiÕm	0	2	30748	90	18000	0	300	0	193;363	360;640	1	86	50044	690				\image\item\weapon\wea_lv13_08a1.spr	\image\item\weapon\wea_lv13_08a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¶ëÃ¼½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp CÇm	0	10	30749	140	18000	0	300	1	250;420	288;490	1	90	50045	690				\image\item\weapon\wea_lv13_09a1.spr	\image\item\weapon\wea_lv13_09a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¶ëÃ¼ÇÙ14	CÇm		10;10	4	1	0	0		99	43	40	12
V« H¹ Hµo HiÖp Thñ	0	0	30750	50	18000	0	300	0	329;574	286;493	1	90	50046	690				\image\item\weapon\wea_lv13_11a1.spr	\image\item\weapon\wea_lv13_11a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	¿ÕÊÖ	Hé thñ		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp C«n	0	5	30751	200	18000	0	300	0	263;451		1	84	50047	690				\image\item\weapon\wea_lv13_12a1.spr	\image\item\weapon\wea_lv13_12a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ø¤°ï¹÷14	C«n		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp KiÕm	0	2	30752	90	18000	0	300	0	193;363	360;640	1	86	50048	690				\image\item\weapon\wea_lv13_33a1.spr	\image\item\weapon\wea_lv13_33a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp Bót	0	9	30753	130	18000	0	300	0	228;380		1	110	50049	690				\image\item\weapon\wea_lv13_15a1.spr	\image\item\weapon\wea_lv13_15a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îäµ±±Ê14	Bót		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp Th­¬ng	0	6	30754	130	18000	0	300	0	190;446		1	95	50050	690				\image\item\weapon\wea_lv13_17a1.spr	\image\item\weapon\wea_lv13_17a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅÇ¹14	Th­¬ng		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp Cung	0	4	30755	130	18000	0	300	1	237;385		1	86	50051	690				\image\item\weapon\wea_lv13_18a1.spr	\image\item\weapon\wea_lv13_18a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	ÑîÃÅ¹­14	Cung		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp Song §ao	0	7	30756	215	18000	0	300	2	243;411	329;574	1	105	50052	690				\image\item\weapon\wea_lv13_20a1.spr	\image\item\weapon\wea_lv13_20a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾µ¶14	Song ®ao		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp Tr¶o	0	11	30757	215	18000	0	300	2	243;411	275;493	1	105	50053	690				\image\item\weapon\wea_lv13_21a1.spr	\image\item\weapon\wea_lv13_21a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Îå¶¾×¦14	Tr¶o		10;10	4	1	0	0		99	42	40	12
V« H¹ Hµo HiÖp KiÕm	0	2	30758	90	18000	0	300	0	193;363	360;640	1	86	50054	690				\image\item\weapon\wea_lv13_32a1.spr	\image\item\weapon\wea_lv13_32a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	À¥ÂØ½£14	Tr­êng kiÕm		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp §ao	0	3	30759	200	18000	0	300	0	320;556		1	100	50055	690				\image\item\weapon\wea_lv13_25a1.spr	\image\item\weapon\wea_lv13_25a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ìµ¶14	§¬n ®ao		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp Bót	0	9	30760	130	18000	0	300	0	320;556		1	110	50056	690				\image\item\weapon\wea_lv13_26a1.spr	\image\item\weapon\wea_lv13_26a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì±Ê14	Bót		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp Tr¶o	0	11	30761	215	18000	0	300	2	193;363	360;640	1	105	50057	690				\image\item\weapon\wea_lv13_27a1.spr	\image\item\weapon\wea_lv13_27a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	Ã÷½Ì×¦14	Tr¶o		10;10	4	1	0	0		99	44	40	12
V« H¹ Hµo HiÖp PhiÕn	0	13	30762	140	18000	0	300	0	246;523	210;447	1	87	50058	690				\image\item\weapon\wea_lv13_29a1.spr	\image\item\weapon\wea_lv13_29a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌÉÈ14	Linh Chi		10;10	4	1	0	0		99	45	40	12
V« H¹ Hµo HiÖp §Şch	0	12	30763	130	18000	0	300	0	190;413	97;216	1	87	50059	690				\image\item\weapon\wea_lv13_30a1.spr	\image\item\weapon\wea_lv13_30a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	´äÑÌµÑ14	Tiªu		10;10	4	1	0	0		99	45	40	12
Kim L­ V©n §Çu §ao	0	3	25101	30	31	0	200	0	120;240		1	105	25101	10	1	1		\image\item\weapon\wea_bla_008a1.spr	\image\item\weapon\wea_bla_008a0.spr	§ao ®­îc sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, lµm tõ Tinh Cang.	µ¥µ¶4a	§· khãa		4	2	1	0	0					
Kim L­ V©n §Çu §ao	0	3	25102	30	31	0	200	0	120;240		1	105	25102	10	1	2		\image\item\weapon\wea_bla_008a1.spr	\image\item\weapon\wea_bla_008a0.spr	§ao ®­îc sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, lµm tõ Tinh Cang.	µ¥µ¶4a	§· khãa		4	2	1	0	0					
Kim L­ V©n §Çu §ao	0	3	25103	30	31	0	200	0	120;240		1	105	25103	10	2	3		\image\item\weapon\wea_bla_008a1.spr	\image\item\weapon\wea_bla_008a0.spr	§ao ®­îc sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, lµm tõ Tinh Cang.	µ¥µ¶4a	§· khãa		4	2	1	0	0					
Kim L­ V©n §Çu §ao	0	3	25104	30	31	0	200	0	120;240		1	105	25104	10	2	4		\image\item\weapon\wea_bla_008a1.spr	\image\item\weapon\wea_bla_008a0.spr	§ao ®­îc sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, lµm tõ Tinh Cang.	µ¥µ¶4a	§· khãa		4	2	1	0	0					
B¹o S¸t Cöu Hoµn §ao	0	3	25111	40	51	0	250	0	192;384		1	105	25111	35	1	1		\image\item\weapon\wea_bla_011a1.spr	\image\item\weapon\wea_bla_011a0.spr	§ao ®­îc sö dông bëi ®Ö tö cao cÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi s¾c bĞn, bèi cã cöu hoµn, cè danh	µ¥µ¶5b	§· khãa		6	2	1	0	0					
B¹o S¸t Cöu Hoµn §ao	0	3	25112	40	51	0	250	0	192;384		1	105	25112	35	1	2		\image\item\weapon\wea_bla_011a1.spr	\image\item\weapon\wea_bla_011a0.spr	§ao ®­îc sö dông bëi ®Ö tö cao cÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi s¾c bĞn, bèi cã cöu hoµn, cè danh	µ¥µ¶5b	§· khãa		6	2	1	0	0					
B¹o S¸t Cöu Hoµn §ao	0	3	25113	40	51	0	250	0	192;384		1	105	25113	35	2	3		\image\item\weapon\wea_bla_011a1.spr	\image\item\weapon\wea_bla_011a0.spr	§ao ®­îc sö dông bëi ®Ö tö cao cÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi s¾c bĞn, bèi cã cöu hoµn, cè danh	µ¥µ¶5b	§· khãa		6	2	1	0	0					
B¹o S¸t Cöu Hoµn §ao	0	3	25114	40	51	0	250	0	192;384		1	105	25114	35	2	4		\image\item\weapon\wea_bla_011a1.spr	\image\item\weapon\wea_bla_011a0.spr	§ao ®­îc sö dông bëi ®Ö tö cao cÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi s¾c bĞn, bèi cã cöu hoµn, cè danh	µ¥µ¶5b	§· khãa		6	2	1	0	0					
Hé Gi¸o Sø-Chİch DiÖm §ao	0	3	25121	50	5001	0	300	0	240;480		1	105	25121	50	1	1		\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	B¶o ®ao ®­îc sö dông bëi hé gi¸o sø, t¹o thµnh tõ nguyªn liÖu hiÕm cã, tr¶i qua ngµn bóa tr¨m luyÖn, s¾c bĞn dŞ th­êng, s¾c nh­ liÖt diÖm, cè danh	µ¥µ¶7a	§· khãa		7	0	1	0	0					
Hé Gi¸o Sø-Chİch DiÖm §ao	0	3	25122	50	5001	0	300	0	240;480		1	105	25122	50	1	2		\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	B¶o ®ao ®­îc sö dông bëi hé gi¸o sø, t¹o thµnh tõ nguyªn liÖu hiÕm cã, tr¶i qua ngµn bóa tr¨m luyÖn, s¾c bĞn dŞ th­êng, s¾c nh­ liÖt diÖm, cè danh	µ¥µ¶7a	§· khãa		7	0	1	0	0					
Hé Gi¸o Sø-Chİch DiÖm §ao	0	3	25123	50	5001	0	300	0	240;480		1	105	25123	50	2	3		\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	B¶o ®ao ®­îc sö dông bëi hé gi¸o sø, t¹o thµnh tõ nguyªn liÖu hiÕm cã, tr¶i qua ngµn bóa tr¨m luyÖn, s¾c bĞn dŞ th­êng, s¾c nh­ liÖt diÖm, cè danh	µ¥µ¶7a	§· khãa		7	0	1	0	0					
Hé Gi¸o Sø-Chİch DiÖm §ao	0	3	25124	50	5001	0	300	0	240;480		1	105	25124	50	2	4		\image\item\weapon\wea_bla_014a1.spr	\image\item\weapon\wea_bla_014a0.spr	B¶o ®ao ®­îc sö dông bëi hé gi¸o sø, t¹o thµnh tõ nguyªn liÖu hiÕm cã, tr¶i qua ngµn bóa tr¨m luyÖn, s¾c bĞn dŞ th­êng, s¾c nh­ liÖt diÖm, cè danh	µ¥µ¶7a	§· khãa		7	0	1	0	0					
TrËn Binh ThiÕt Bót	0	9	26101	30	31	0	200	0	120;240		1	110	26101	10	1	1		\image\item\weapon\wea_bru_008a1.spr	\image\item\weapon\wea_bru_008a0.spr	ThiÕt bót ®­îc sö dông bëi ®Ö tö cÊp thÊp cña  Minh Gi¸o TrËn Binh, bót cùc s¾c bĞn	±Ê4a	§· khãa		4	2	1	0	0					
TrËn Binh ThiÕt Bót	0	9	26102	30	31	0	200	0	120;240		1	110	26102	10	1	2		\image\item\weapon\wea_bru_008a1.spr	\image\item\weapon\wea_bru_008a0.spr	ThiÕt bót ®­îc sö dông bëi ®Ö tö cÊp thÊp cña  Minh Gi¸o TrËn Binh, bót cùc s¾c bĞn	±Ê4a	§· khãa		4	2	1	0	0					
TrËn Binh ThiÕt Bót	0	9	26103	30	31	0	200	0	120;240		1	110	26103	10	2	3		\image\item\weapon\wea_bru_008a1.spr	\image\item\weapon\wea_bru_008a0.spr	ThiÕt bót ®­îc sö dông bëi ®Ö tö cÊp thÊp cña  Minh Gi¸o TrËn Binh, bót cùc s¾c bĞn	±Ê4a	§· khãa		4	2	1	0	0					
TrËn Binh ThiÕt Bót	0	9	26104	30	31	0	200	0	120;240		1	110	26104	10	2	4		\image\item\weapon\wea_bru_008a1.spr	\image\item\weapon\wea_bru_008a0.spr	ThiÕt bót ®­îc sö dông bëi ®Ö tö cÊp thÊp cña  Minh Gi¸o TrËn Binh, bót cùc s¾c bĞn	±Ê4a	§· khãa		4	2	1	0	0					
Tö SÜ HuyÒn ThiÕt Bót	0	9	26111	40	51	0	250	0	192;384		1	110	26111	35	1	1		\image\item\weapon\wea_bru_011a1.spr	\image\item\weapon\wea_bru_011a0.spr	Bót ®­îc sö dông bëi ®Ö tö cao cÊp cña  Minh Gi¸o TrËn Binh, lµm tõ HuyÒn ThiÕt, s¾c bĞn v« ®Şch	±Ê5b	§· khãa		6	2	1	0	0					
Tö SÜ HuyÒn ThiÕt Bót	0	9	26112	40	51	0	250	0	192;384		1	110	26112	35	1	2		\image\item\weapon\wea_bru_011a1.spr	\image\item\weapon\wea_bru_011a0.spr	Bót ®­îc sö dông bëi ®Ö tö cao cÊp cña  Minh Gi¸o TrËn Binh, lµm tõ HuyÒn ThiÕt, s¾c bĞn v« ®Şch	±Ê5b	§· khãa		6	2	1	0	0					
Tö SÜ HuyÒn ThiÕt Bót	0	9	26113	40	51	0	250	0	192;384		1	110	26113	35	2	3		\image\item\weapon\wea_bru_011a1.spr	\image\item\weapon\wea_bru_011a0.spr	Bót ®­îc sö dông bëi ®Ö tö cao cÊp cña  Minh Gi¸o TrËn Binh, lµm tõ HuyÒn ThiÕt, s¾c bĞn v« ®Şch	±Ê5b	§· khãa		6	2	1	0	0					
Tö SÜ HuyÒn ThiÕt Bót	0	9	26114	40	51	0	250	0	192;384		1	110	26114	35	2	4		\image\item\weapon\wea_bru_011a1.spr	\image\item\weapon\wea_bru_011a0.spr	Bót ®­îc sö dông bëi ®Ö tö cao cÊp cña  Minh Gi¸o TrËn Binh, lµm tõ HuyÒn ThiÕt, s¾c bĞn v« ®Şch	±Ê5b	§· khãa		6	2	1	0	0					
Ch­ëng Kú Sø-Xİch DiÖm Bót	0	9	26121	50	5001	0	300	0	240;480		1	110	26121	50	1	1		\image\item\weapon\wea_bru_014a1.spr	\image\item\weapon\wea_bru_014a0.spr	 Ch­ëng Kú sö dông tinh th«ng thuËt rÌn, chän tinh thiÕt th­îng ®¼ng, tr¶i qua ngµn bóa tr¨m luyÖn,rÌn ra th­îng ®¼ng Vò khİ, tªn lµ Xİch DiÖm Bót	±Ê7a	§· khãa		7	0	1	0	0					
