Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31037	30	40000	0	200						31789	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31038	30	40000	0	200						31790	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31039	30	40000	0	200						31791	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31040	30	40000	0	200						31792	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31041	30	40000	0	200						31793	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31042	30	40000	0	200						31794	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31043	30	40000	0	200						31795	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31044	30	40000	0	200						31796	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31045	30	40000	0	200						31797	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31046	30	40000	0	200						31798	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31047	30	40000	0	200						31799	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31048	30	40000	0	200						31800	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31049	30	40000	0	200						31801	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31050	30	40000	0	200						31802	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31051	30	40000	0	200						31803	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31052	30	40000	0	200						31804	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31053	30	40000	0	200						31805	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31054	30	40000	0	200						31806	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31055	30	40000	0	200						31807	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31056	30	40000	0	200						31808	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31057	30	40000	0	200						31809	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31058	30	40000	0	200						31810	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông Nguyªn So¸i LÖnh Kú	0	102	31059	30	40000	0	200						31811	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì3_A1.spr	\image\item\ring\À×»¢ÁîÆì3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31060	30	40000	0	200						31748	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31061	30	40000	0	200						31749	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31062	30	40000	0	200						31750	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31063	30	40000	0	200						31751	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31064	30	40000	0	200						31752	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31065	30	40000	0	200						31753	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31066	30	40000	0	200						31754	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31067	30	40000	0	200						31755	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31068	30	40000	0	200						31756	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31069	30	40000	0	200						31757	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31070	30	40000	0	200						31758	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31071	30	40000	0	200						31759	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31072	30	40000	0	200						31760	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31073	30	40000	0	200						31761	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31074	30	40000	0	200						31762	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31075	30	40000	0	200						31763	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31076	30	40000	0	200						31764	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31077	30	40000	0	200						31765	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31078	30	40000	0	200						31766	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31079	30	40000	0	200						31767	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31080	30	40000	0	200						31768	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31081	30	40000	0	200						31769	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31082	30	40000	0	200						31770	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31083	30	40000	0	200						31771	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông Nguyªn So¸i HiÖu Kú	0	102	31084	30	40000	0	200						31772	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÅÆ3_A1.spr	\image\item\ring\À×»¢ÁîÅÆ3_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm Nguyªn So¸i hoÆc C«ng Tr¹ng ®¹t ®Õn 7,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
