Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30462	30	40000	0	200	17;25					31707	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30463	30	40000	0	200	17;25					31708	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30464	30	40000	0	200	17;25					31709	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30465	30	40000	0	200	17;25					31710	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30466	30	40000	0	200	17;25					31711	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30467	30	40000	0	200	17;25					31712	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30468	30	40000	0	200	17;25					31713	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30469	30	40000	0	200	23;23					31714	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30470	30	40000	0	200	23;23					31715	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30471	30	40000	0	200	23;23					31716	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30472	30	40000	0	200	23;23					31717	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30473	30	40000	0	200	17;25					31718	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30474	30	40000	0	200	17;25					31719	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30475	30	40000	0	200	17;25					31720	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30476	30	40000	0	200	17;25					31721	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30477	30	40000	0	200	23;23					31722	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30478	30	40000	0	200	23;23					31723	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30479	30	40000	0	200	23;23					31724	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30480	30	40000	0	200	23;23					31725	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30481	30	40000	0	200	17;25					31726	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30482	30	40000	0	200	17;25					31727	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30483	30	40000	0	200	17;25					31728	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30484	30	40000	0	200	17;25					31729	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30485	30	40000	0	200	17;25					31730	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30486	30	40000	0	200	17;25					31731	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30487	30	40000	0	200	25;17					31732	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30488	30	40000	0	200	25;17					31733	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30489	30	40000	0	200	25;17					31734	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30490	30	40000	0	200	25;17					31735	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30491	30	40000	0	200	23;23					31736	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30492	30	40000	0	200	23;23					31737	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30493	30	40000	0	200	23;23					31738	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30494	30	40000	0	200	23;23					31739	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30495	30	40000	0	200	23;23					31740	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü±êÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	±ê×¼ÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30496	30	40000	0	200	23;23					31741	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾ü×³ÄĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	¿ıÎàÄĞ»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30497	30	40000	0	200	23;23					31742	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30498	30	40000	0	200	23;23					31743	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30499	30	40000	0	200	23;23					31744	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30500	30	40000	0	200	23;23					31745	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·36.spr	\image\item\cap\»ğ·ï½«¾ü½¿Ğ¡Í·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	½¿Ğ¡Å®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Liªu_Háa Phông T­íng Qu©n Kh«i	0	103	30501	30	40000	0	200	23;23					31746	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·36.spr	\image\item\cap\»ğ·ï½«¾üĞÔ¸ĞÍ·120.spr	"Tø Linh ThÇn-Háa Phông ban cho ChiÕn Kh«i <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"	ĞÔ¸ĞÅ®»ğ·ï½«¾üÍ·	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
